Mês,Data,Descrição
Jan 2026,01 Jan,Ano Novo
Jan 2026,Jan,20 Anos Laslo — aniversário
Fev 2026,17 Fev,Dia Mundial do Gato
Fev 2026,08 Mar,Antecipação: Dia da Mulher VET
Mar 2026,08 Mar,Dia Internacional da Mulher
Mar 2026,10–12 Mar,Animal Health Science — Expo Center Norte SP
Mar 2026,14 Mar,Dia Nacional dos Animais
Abr 2026,Abr,Abril Laranja — Prevenção Crueldade Animal
Mai 2026,10 Mai,Dia das Mães
Mai 2026,13 Mai,Dia do Zootecnista
Mai 2026,25 Mai,Dia Nacional da Adoção
Mai 2026,27 Mai,📡 Webinar Laslo — ICAVET (20h)
Jun 2026,10 Jun,📡 Webinar ICAVET [D-20] — Story: aquecimento
Jun 2026,12 Jun,Dia dos Namorados
Jun 2026,13 Jun,📅 Webinar ICAVET [D-17] — Story: Salve a data
Jun 2026,17 Jun,📅 Webinar ICAVET [D-13] — Story
Jun 2026,20 Jun,📅 Webinar ICAVET [D-10] — Story
Jun 2026,23 Jun,📅 Webinar ICAVET [D-7] — Feed: Salve a data
Jun 2026,27 Jun,📅 Webinar ICAVET [D-3] — Feed: Inscrições abertas
Jun 2026,30 Jun,📡 Webinar Laslo — ICAVET (20h)
Jul 2026,01 Jul,📅 Webinar Descartáveis [D-20] — Story
Jul 2026,04 Jul,📅 Webinar Descartáveis [D-17] — Story
Jul 2026,08 Jul,📅 Webinar Descartáveis [D-13] — Story
Jul 2026,11 Jul,📅 Webinar Descartáveis [D-10] — Story
Jul 2026,14 Jul,📅 Webinar Descartáveis [D-7] — Feed
Jul 2026,18 Jul,📅 Webinar Descartáveis [D-3] — Feed
Jul 2026,21 Jul,📡 Webinar Laslo — Descartáveis (20h)
Jul 2026,31 Jul,Dia do Vira-lata
Ago 2026,05 Ago,📅 Webinar BS680 [D-20] — Story
Ago 2026,08 Ago,Dia Mundial do Gato + 📅 Webinar BS680 [D-17] — Story
Ago 2026,09 Ago,Dia dos Pais — Pet Dads
Ago 2026,12 Ago,📅 Webinar BS680 [D-13] — Story
Ago 2026,12–14 Ago,PET VET Expo — Distrito Anhembi SP
Ago 2026,15 Ago,📅 Webinar BS680 [D-10] — Story
Ago 2026,18 Ago,📅 Webinar BS680 [D-7] — Feed
Ago 2026,22 Ago,📅 Webinar BS680 [D-3] — Feed
Ago 2026,25 Ago,📡 Webinar Laslo — BS680 (20h)
Ago 2026,26 Ago,Dia Mundial do Cachorro
Set 2026,09 Set,Dia do Médico Veterinário + 📅 Webinar Elastovet [D-20] — Story
Set 2026,12 Set,📅 Webinar Elastovet [D-17] — Story
Set 2026,15 Set,Dia do Cliente
Set 2026,16 Set,📅 Webinar Elastovet [D-13] — Story
Set 2026,19 Set,📅 Webinar Elastovet [D-10] — Story
Set 2026,22 Set,📅 Webinar Elastovet [D-7] — Feed
Set 2026,26 Set,📅 Webinar Elastovet [D-3] — Feed
Set 2026,Set,CBAV XXXIII — Salvador/BA (data a confirmar)
Set 2026,29 Set,📡 Webinar Laslo — Elastovet (20h)
Set 2026,30 Set,📅 Webinar BSVET TCI [D-20] — Story
Out 2026,01 Out,Dia do Vendedor
Out 2026,03 Out,📅 Webinar BSVET TCI [D-17] — Story
Out 2026,04 Out,Dia Mundial dos Animais
Out 2026,07 Out,📅 Webinar BSVET TCI [D-13] — Story
Out 2026,10 Out,📅 Webinar BSVET TCI [D-10] — Story
Out 2026,13 Out,📅 Webinar BSVET TCI [D-7] — Feed
Out 2026,16 Out,Dia do Anestesista
Out 2026,17 Out,📅 Webinar BSVET TCI [D-3] — Feed
Out 2026,20 Out,📡 Webinar Laslo — BSVET TCI (20h)
Out 2026,30 Out,Dia do Balconista
Nov 2026,04 Nov,📅 Webinar BVVET [D-20] — Story
Nov 2026,07 Nov,📅 Webinar BVVET [D-17] — Story
Nov 2026,11 Nov,📅 Webinar BVVET [D-13] — Story
Nov 2026,14 Nov,📅 Webinar BVVET [D-10] — Story
Nov 2026,15–17 Nov,PETNOR 9ª edição — Olinda/PE
Nov 2026,17 Nov,📅 Webinar BVVET [D-7] — Feed
Nov 2026,21 Nov,📅 Webinar BVVET [D-3] — Feed
Nov 2026,Nov,CAMPANHA BLACK FRIDAY
Nov 2026,24 Nov,📡 Webinar Laslo — BVVET (20h)
Nov 2026,25 Nov,📅 Webinar Pedestal Roama [D-20] — Story
Nov 2026,28 Nov,📅 Webinar Pedestal Roama [D-17] — Story
Dez 2026,02 Dez,📅 Webinar Pedestal Roama [D-13] — Story
Dez 2026,05 Dez,📅 Webinar Pedestal Roama [D-10] — Story
Dez 2026,08 Dez,📅 Webinar Pedestal Roama [D-7] — Feed
Dez 2026,12 Dez,📅 Webinar Pedestal Roama [D-3] — Feed
Dez 2026,15 Dez,📡 Webinar Laslo — Pedestal Roama (20h)
Dez 2026,25 Dez,Natal
