Mês,Semana,Tema / Conteúdo,ADS
Jan 2026,S1,DNA VET: Retorno,Não
Jan 2026,S1,Clube Laslo: TCI,Sim
Jan 2026,S2,Insumos: Descartáveis,Sim
Jan 2026,S2,Clube Laslo: Transformando compras em benefícios,Não
Jan 2026,S3,Insumos: O perigo de descartáveis genéricos,Não
Jan 2026,S3,Repost à escolher,Sim
Jan 2026,S4,Conceito: Por que o DNA da Laslo é 100% VET?,Sim
Jan 2026,S4,Bomba TCI: Protocolos VET de alto desempenho,Sim
Fev 2026,S1,Clube Laslo: Vantagens exclusivas para clínicas,Não
Fev 2026,S1,Insumos: Seringas Serisam de 20ml e 60ml,Sim
Fev 2026,S2,Produtos: Todas as Bombas,Sim
Fev 2026,S2,Bomba TCI: Diferença entre TIVA e TCI,Sim
Fev 2026,S3,Dia Mundial do Gato (17/02): Precisão para felinos | Repost à escolher,Sim
Fev 2026,S3,Antecipação: Faltam 20 dias para Animal Health 10/03,Sim
Fev 2026,S4,Antecipação: Dia Internacional da Mulher VET,Sim
Fev 2026,S4,— (semana de preparação),Não
Mar 2026,S1,Insumos: Equipos fotoprotetores e cristal,Sim
Mar 2026,S1,Mulher VET: Homenagem ao Dia da Mulher (08/03),Não
Mar 2026,S2,Repost à escolher,Não
Mar 2026,S2,Evento: Cobertura Animal Health 10–12/03 | Dia Nacional dos Animais (14/03),Sim
Mar 2026,S3,Bomba TCI: A tecnologia que seu Pet merece,Sim
Mar 2026,S3,Clube Laslo,Não
Mar 2026,S4,Antecipação: Prevenção à Crueldade Animal,Sim
Mar 2026,S4,— (semana de preparação),Não
Abr 2026,S1,Abril Laranja — Prevenção contra Crueldade Animal,Não
Abr 2026,S1,Insumos: Por que a precisão depende do equipo?,Não
Abr 2026,S2,Bomba TCI,Não
Abr 2026,S2,Carrossel de Insumos,Não
Abr 2026,S3,Bombas: Comodato,Não
Abr 2026,S3,Da Infusão à Anestesia - Insumos,Não
Abr 2026,S4,Clube Laslo,Não
Abr 2026,S4,Insumos: Lastovet,Não
Mai 2026,S1,Dia das Mães — As "Pet Moms" e a segurança animal,Não
Mai 2026,S1,Dia do Zootecnista (13/05): Homenagem,Não
Mai 2026,S2,Bomba TCI: Tecnologia alvo-controle em cirurgias,Sim
Mai 2026,S2,Insumos: Diferencial das Seringas Serisam,Sim
Mai 2026,S3,Dia Nacional da Adoção (25/05): Apoio à causa,Não
Mai 2026,S3,Clube Laslo: Como aderir ao programa de fidelidade,Não
Mai 2026,S4,Conceito: "De ouvidos ao seu Pet" — Segurança Laslo,Sim
Mai 2026,S4,ELASTOVET #1 — Carrossel: Apresentação do produto,Não
Jun 2026,S1,Bombas: Todas,Não
Jun 2026,S1,Insumos: Segurança garantida pela fábrica,Sim
Jun 2026,S2,Bomba TCI: O futuro da anestesia veterinária,Sim
Jun 2026,S2,📡 Webinar ICAVET [D-20 — 10/06] — Story: Webinar em 20 dias! A sua bomba está realmente segura?,Não
Jun 2026,S2,📡 Webinar ICAVET [D-17 — 13/06] — Story: Salve a data! 30/06 às 20h — inscrição gratuita,Não
Jun 2026,S3,ELASTOVET #2 — Reel: Como funciona a bomba elastomérica?,Não
Jun 2026,S3,📡 Webinar ICAVET [D-13 — 17/06] — Story: Sua bomba pode estar falhando com pacientes críticos. Você saberia identificar?,Não
Jun 2026,S3,📡 Webinar ICAVET [D-10 — 20/06] — Story: Faltam 10 dias — link na bio para se inscrever gratuitamente,Não
Jun 2026,S4,Insumos: Seringas e Equipos,Sim
Jun 2026,S4,📡 Webinar ICAVET [D-7 — 23/06] — Feed: Salve a data! 30/06 às 20h — A falsa segurança da infusão,Sim
Jun 2026,S4,📡 Webinar ICAVET [D-3 — 27/06] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim
Jun 2026,S5,Clube Laslo: Promoção relâmpago de insumos,Sim
Jun 2026,S5,📡 Webinar ICAVET [D-0 — 30/06] — Feed + Story: Hoje às 20h — ao vivo! Link na bio.,Sim
Jul 2026,S1,Antecipação PET VET Expo (12–14/ago): Faltam ~35 dias — Presença Laslo confirmada,Sim
Jul 2026,S1,📡 Webinar Descartáveis [D-20 — 01/07] — Story: Webinar em 20 dias! Alarme de oclusão — você conhece as 5 causas?,Não
Jul 2026,S1,📡 Webinar Descartáveis [D-17 — 04/07] — Story: Salve a data! 21/07 às 20h — inscrição gratuita,Não
Jul 2026,S2,Antecipação PET VET Expo: Faltam 30 dias — O que esperar do estande Laslo?,Sim
Jul 2026,S2,📡 Webinar Descartáveis [D-13 — 08/07] — Story: O alarme de oclusão te acorda à noite? Você pode estar ignorando a causa raiz,Não
Jul 2026,S2,📡 Webinar Descartáveis [D-10 — 11/07] — Story: Faltam 10 dias — link na bio para garantir sua vaga,Não
Jul 2026,S3,Clube Laslo: Benefícios,Não
Jul 2026,S3,Insumos: Reposição de estoque para clínicas,Não
Jul 2026,S3,ELASTOVET #3 — Carrossel: Libere o leito (foco clínica),Não
Jul 2026,S3,📡 Webinar Descartáveis [D-7 — 14/07] — Feed: Salve a data! 21/07 às 20h — Alarme de oclusão: 5 causas que colocam seu paciente em risco,Sim
